gp,min,fg,3p_made,3p,ftm,ft,oreb,dreb,ast,stl,blk,tov,target_5yrs,pts_per_min
67,9.0,38.8,0.4,29.2,0.5,75.6,0.1,0.6,1.4,0.4,0.1,1.0,0,0.41111065432149524
50,8.7,38.0,0.0,14.3,0.5,65.9,0.3,0.5,1.6,0.7,0.1,1.0,1,0.2873559915448373
45,8.5,47.5,0.0,0.0,0.5,75.0,0.7,0.8,0.3,0.2,0.2,0.6,1,0.3176466851215469
38,8.2,36.8,0.2,22.2,0.5,82.6,0.3,0.6,0.7,0.3,0.1,0.6,0,0.41463364069068215
42,8.2,43.9,0.0,0.0,0.7,52.5,0.9,1.0,0.3,0.1,0.1,0.8,0,0.34146299821585585
54,8.2,45.6,0.1,18.8,0.6,74.4,0.7,0.6,0.6,0.2,0.1,0.5,0,0.39024342653240673
35,7.3,39.2,0.1,20.0,0.4,53.6,0.6,0.6,0.6,0.4,0.2,0.8,0,0.5479444548706098
37,7.3,44.3,0.1,18.2,0.5,81.0,0.4,0.7,0.3,0.2,0.1,0.5,0,0.38356111840942686
46,6.7,43.1,0.2,27.0,0.2,52.6,0.4,0.4,0.5,0.2,0.0,0.3,0,0.3880591222998175
51,6.4,38.4,0.3,43.3,0.3,83.3,0.3,0.5,0.3,0.1,0.0,0.3,0,0.34374946289146424
40,5.3,38.0,0.0,0.0,0.9,75.6,0.5,0.7,0.3,0.1,0.1,0.5,0,0.4150935564272521
19,4.8,37.8,0.0,0.0,0.2,37.5,0.6,0.4,0.4,0.3,0.2,0.3,0,0.3333326388903357
36,4.3,35.3,0.1,11.8,0.3,66.7,0.2,0.4,0.6,0.1,0.0,0.5,0,0.30232487831423654
79,37.7,42.2,0.0,27.3,4.1,73.6,2.4,6.4,4.0,1.4,1.1,2.9,1,0.4774534542563781
55,13.1,30.4,0.4,20.4,0.6,74.5,0.4,0.8,0.5,0.7,0.1,0.7,0,0.2595417866093232
74,35.2,46.7,0.2,34.2,4.4,73.1,3.6,6.6,2.2,1.0,1.3,2.9,1,0.5227271242252487
64,33.5,40.6,1.1,36.5,4.0,77.0,0.8,1.9,4.0,1.3,0.2,2.5,0,0.4268655442192405
82,28.5,42.5,1.5,37.4,1.9,75.0,0.8,2.1,1.6,0.8,0.3,1.6,1,0.5508769996922808
82,27.4,45.0,0.0,7.7,0.8,71.1,1.3,1.6,6.4,2.0,0.2,2.2,1,0.26277362672495375
81,25.9,51.2,0.0,0.0,2.2,72.2,3.4,4.6,0.3,0.6,1.5,0.9,1,0.2741311682891242
76,25.4,44.1,0.1,13.3,3.0,78.2,1.5,2.0,1.4,0.9,0.3,1.9,1,0.47244075888159104
82,23.7,46.4,0.1,20.6,1.7,87.3,0.5,1.7,4.2,1.0,0.2,1.7,0,0.3670884527052942
82,23.7,46.4,0.1,20.6,1.7,87.3,0.5,1.7,4.2,1.0,0.2,1.7,1,0.3670884527052942
49,9.2,32.7,0.1,21.4,0.5,64.9,0.2,0.7,1.7,0.5,0.1,0.6,0,0.20652151465052757
49,9.2,32.7,0.1,21.4,0.5,64.9,0.2,0.7,1.7,0.5,0.1,0.6,1,0.20652151465052757
82,23.7,45.0,0.0,14.3,1.9,83.5,1.3,1.9,3.7,1.3,0.5,2.0,1,0.4641348252595674
76,22.6,50.8,0.0,0.0,1.4,63.6,1.9,3.3,0.9,0.6,1.9,1.3,1,0.3053095994205312
67,22.5,41.3,0.4,24.0,1.3,85.7,0.5,1.3,3.1,0.8,0.1,1.6,1,0.6266663881482719
70,20.6,43.9,0.0,9.7,1.6,70.7,0.9,1.2,2.5,0.4,0.2,1.6,0,0.42718425864841814
81,20.5,42.8,0.3,29.9,1.5,81.6,1.2,2.3,1.8,0.5,0.3,1.5,1,0.41951199048195587
33,19.5,49.7,0.1,40.0,2.3,84.3,1.4,1.9,1.4,0.6,0.3,0.9,1,0.3692305798817539
58,19.3,41.7,0.0,0.0,1.2,55.0,2.3,3.3,0.4,0.6,1.2,0.9,0,0.2746112566781053
70,16.9,41.9,0.1,25.0,1.1,79.6,0.5,1.1,1.3,0.3,0.1,1.0,0,0.4260352508667155
82,16.5,41.2,0.1,17.6,0.9,74.7,0.7,1.2,2.8,0.8,0.1,1.2,1,0.29696951698817153
62,16.2,38.0,0.3,29.2,1.5,77.3,0.7,1.2,1.2,0.5,0.1,1.2,0,0.42592566300885004
78,16.1,42.5,0.0,0.0,1.1,67.2,1.5,2.8,0.4,0.2,0.3,1.4,0,0.38509292851370897
73,16.1,48.7,0.0,0.0,0.7,66.2,1.7,3.1,0.5,0.3,0.3,0.7,1,0.341614694649258
74,16.1,49.2,0.0,0.0,1.3,63.2,2.1,3.1,0.3,0.5,0.4,1.0,1,0.3291923421165577
76,15.4,42.1,0.2,29.8,0.8,63.0,1.5,1.4,0.8,0.6,0.3,0.9,0,0.43506465255542043
55,14.9,46.5,0.0,0.0,0.9,71.2,1.5,2.7,0.6,0.6,0.5,0.8,1,0.38255007882545045
47,14.3,44.6,0.0,18.2,1.0,58.8,0.4,1.1,2.8,0.7,0.2,1.6,0,0.39160811775656096
37,13.6,44.1,0.6,40.0,1.4,72.2,0.7,1.4,0.9,0.4,0.1,1.0,1,0.5955877973619137
62,13.3,46.5,0.0,0.0,0.9,64.4,0.8,1.9,0.6,0.2,0.2,1.0,0,0.3233080275879492
62,12.5,38.4,0.1,16.1,1.0,80.5,0.3,0.8,1.3,0.5,0.1,0.9,0,0.31199975040019967
51,11.9,43.8,0.0,11.8,1.0,68.4,1.1,0.9,0.8,0.6,0.2,0.8,0,0.5798314455197937
36,11.8,41.3,0.0,0.0,0.4,55.6,0.8,0.6,1.0,0.4,0.0,0.8,1,0.3305081944845809
74,11.6,41.6,0.0,25.0,0.6,65.2,0.8,1.1,0.7,0.5,0.2,0.3,1,0.267241148930044
63,11.6,48.7,0.0,16.7,1.7,66.3,1.2,1.2,0.6,0.3,0.1,1.1,1,0.7068959423310842
33,10.8,34.8,0.1,27.3,0.3,64.3,0.2,2.0,0.8,0.5,0.2,0.3,0,0.2037035150893379
54,11.2,46.0,0.0,0.0,0.8,68.9,1.0,1.8,0.7,0.2,0.4,0.8,1,0.39285679209214996
73,11.0,40.8,0.1,27.8,0.7,73.2,0.2,0.8,1.2,0.5,0.1,0.7,0,0.34545423140524417
15,10.9,40.4,0.0,0.0,1.1,66.7,0.8,2.2,0.2,0.3,0.3,0.7,0,0.3302749263532786
64,10.9,44.1,0.0,0.0,0.6,70.2,0.4,0.7,2.1,0.4,0.2,1.1,1,0.3394492298630919
56,10.6,41.5,0.0,0.0,0.6,80.0,0.3,0.5,1.9,0.5,0.1,0.8,0,0.320754414382628
64,10.6,39.1,0.0,0.0,0.9,69.6,0.4,0.8,1.0,0.3,0.1,0.8,0,0.3018865076542381
68,10.1,41.8,0.3,33.3,0.6,90.5,0.2,0.5,1.9,0.5,0.0,0.6,1,0.30693038917783255
47,10.0,40.3,0.3,37.5,0.5,75.8,0.7,0.7,0.7,0.3,0.0,0.5,0,0.28999971000029
52,9.8,44.7,0.0,50.0,0.7,66.1,0.8,1.3,0.3,0.2,0.1,0.8,1,0.35714249271174214
64,9.5,40.0,0.1,40.0,0.5,77.8,0.5,0.5,0.4,0.3,0.2,0.5,0,0.38947327423865874
34,10.8,36.7,0.0,0.0,0.4,44.4,0.8,1.1,0.5,0.1,0.1,0.7,0,0.2685182698904908
42,9.5,43.9,0.0,0.0,0.5,55.0,0.7,2.2,0.4,0.1,0.7,0.8,1,0.39999957894781163
50,9.3,45.8,0.1,15.8,0.6,84.8,0.4,0.9,0.7,0.2,0.0,1.0,1,0.4838704474511318
52,7.3,45.5,0.0,0.0,0.6,65.3,0.8,1.1,0.2,0.2,0.7,0.3,1,0.38356111840942686
75,7.0,52.0,0.0,0.0,0.5,68.0,0.7,1.0,0.4,0.1,0.4,0.6,0,0.41428512244982507
39,6.8,42.0,0.2,24.0,0.3,48.0,0.8,1.0,0.5,0.4,0.3,0.3,1,0.3235289359868589
51,6.6,51.0,0.0,50.0,0.4,71.4,0.8,1.1,0.3,0.2,0.3,0.5,1,0.37878730486771994
52,6.2,37.3,0.0,0.0,0.2,54.5,0.8,0.7,0.1,0.1,0.1,0.1,0,0.20967708116599815
39,5.8,51.3,0.0,0.0,0.5,90.5,0.5,0.6,0.2,0.1,0.1,0.1,1,0.2586202437582004
82,36.6,53.1,0.0,0.0,7.5,73.2,3.7,8.3,2.0,1.7,3.9,3.1,1,0.663934244826709
31,10.7,35.3,0.5,25.8,0.5,55.2,0.3,1.1,0.4,0.3,0.1,0.2,0,0.31775671237690434
79,33.7,47.1,0.3,27.4,2.7,76.4,0.7,3.2,8.7,2.1,0.1,3.3,0,0.4362016509787385
79,33.7,47.1,0.3,27.4,2.7,76.4,0.7,3.2,8.7,2.1,0.1,3.3,1,0.4362016509787385
82,33.6,44.0,0.0,0.0,2.3,66.4,2.4,6.0,1.2,1.1,0.7,2.1,1,0.3303570445365938
82,31.5,46.1,0.3,27.7,0.8,58.9,0.7,2.0,6.8,1.6,0.3,1.7,1,0.3619046470143978
81,30.5,49.4,0.1,16.1,2.8,68.7,0.9,1.7,7.6,1.8,0.1,3.0,1,0.46885230529432614
80,30.2,44.6,0.0,0.0,3.4,76.8,2.3,3.5,1.1,0.8,0.7,1.2,1,0.42052966207627085
77,30.0,43.9,0.2,24.6,1.2,73.4,1.3,3.3,1.8,0.9,0.3,1.5,1,0.4533331822222726
77,30.0,43.9,0.2,24.6,1.2,73.4,1.3,3.3,1.8,0.9,0.3,1.5,0,0.4533331822222726
50,25.3,37.1,0.4,22.5,1.3,77.8,0.8,2.0,4.2,1.6,0.3,2.2,1,0.3992093283757595
81,25.1,48.1,0.0,11.1,2.3,86.6,1.6,2.1,1.9,0.6,0.2,1.4,1,0.398406215774416
82,23.0,50.7,0.1,30.0,1.8,71.9,0.8,2.2,1.8,0.9,0.4,1.9,1,0.3869563534972376
50,10.6,44.9,0.0,13.3,0.6,57.4,0.9,2.0,0.3,0.2,0.4,0.4,0,0.3490562744752128
81,22.0,49.4,0.0,5.9,2.3,70.5,1.3,2.6,1.5,0.8,0.4,1.7,1,0.5227270351240749
82,21.7,50.4,0.0,0.0,2.4,72.7,2.1,2.6,1.1,0.5,0.7,1.4,1,0.4101380598442121
81,20.1,40.5,1.2,39.9,1.1,80.9,0.4,1.2,2.5,0.7,0.0,1.5,1,0.4825868245836693
69,19.6,41.1,0.0,13.3,1.3,70.5,1.1,1.2,0.6,0.6,0.2,0.7,0,0.321428407434486
82,19.1,39.7,0.1,27.3,1.7,55.0,1.3,2.4,0.9,0.7,0.7,1.6,1,0.47643954113113024
55,18.0,47.9,0.0,0.0,1.2,66.7,1.5,1.9,1.0,0.4,0.2,1.1,0,0.3388887006173885
75,17.9,47.0,0.0,0.0,1.7,76.2,1.1,2.0,0.7,0.4,0.3,0.9,1,0.4078210012173178
72,17.0,49.7,0.0,0.0,2.3,72.2,2.6,2.4,0.6,0.3,0.2,0.7,0,0.5117644048444677
79,16.8,48.6,0.0,0.0,1.6,74.7,0.6,1.3,1.5,0.7,0.2,1.2,1,0.47619019274393287
25,10.4,39.5,0.2,38.5,0.7,69.2,1.1,2.3,0.2,0.2,0.4,0.4,0,0.31730738720443535
81,15.9,48.5,0.0,50.0,0.9,88.5,0.2,1.0,2.5,0.6,0.1,1.0,1,0.3522010363515494
63,14.0,46.6,0.0,0.0,0.9,62.1,1.5,2.2,0.4,0.4,0.4,1.1,1,0.33571404591853865
81,13.8,47.9,0.0,16.7,1.4,73.6,1.8,2.5,0.3,0.6,0.9,1.3,1,0.4710141514390207
61,13.2,43.7,0.0,0.0,1.0,64.3,1.0,1.8,0.8,0.2,0.2,0.8,1,0.4015148473372369
43,13.0,40.6,0.1,14.3,0.4,68.0,0.2,1.0,1.9,0.3,0.1,0.8,0,0.3538458816570141
55,12.9,36.9,0.0,7.1,0.9,56.2,1.4,1.7,0.4,0.4,0.1,0.8,1,0.3333330749356008
59,12.4,54.7,0.0,25.0,0.9,67.1,0.7,1.4,0.6,0.6,0.2,0.5,0,0.330644894641214
66,11.3,45.9,0.0,0.0,2.3,77.7,1.0,1.0,0.7,0.5,0.1,1.2,1,0.5221234317491754
70,34.5,40.5,0.8,26.4,3.7,70.3,1.4,4.8,6.3,1.9,0.6,3.5,0,0.4840578307078751
77,11.0,42.9,0.2,28.6,0.5,66.0,0.2,0.6,2.3,0.3,0.0,1.1,0,0.3181815289258828
37,10.9,29.8,0.2,23.3,1.2,69.4,0.2,0.7,1.8,0.5,0.1,1.4,0,0.35779783688271843
67,10.1,38.4,0.0,18.8,0.6,66.1,0.2,0.6,2.5,0.5,0.0,1.1,1,0.30693038917783255
42,9.8,43.0,0.0,0.0,0.2,50.0,1.0,1.8,0.5,0.2,0.3,0.4,0,0.19387735318637428
50,9.8,47.3,0.1,35.7,1.2,67.0,0.6,0.9,0.9,0.6,0.0,0.8,0,0.5306117034574455
65,9.5,47.6,0.0,7.1,0.8,82.8,0.6,0.9,1.2,0.1,0.0,0.8,0,0.5263152354576469
65,9.5,47.6,0.0,7.1,0.8,82.8,0.6,0.9,1.2,0.1,0.0,0.8,1,0.5263152354576469
82,21.2,54.2,0.0,0.0,1.5,48.5,2.1,3.8,0.8,0.7,0.6,1.3,0,0.3254715445888941
82,21.2,54.2,0.0,0.0,1.5,48.5,2.1,3.8,0.8,0.7,0.6,1.3,1,0.3254715445888941
44,9.4,31.3,0.3,32.5,0.3,78.9,0.3,0.7,1.0,0.4,0.1,0.8,1,0.2872337369853862
36,8.8,47.5,0.0,0.0,1.1,61.5,0.6,0.8,0.6,0.5,0.2,0.7,0,0.48863580836839954
60,8.7,44.4,0.0,0.0,0.9,69.7,0.2,0.9,1.7,0.6,0.1,0.6,1,0.3333329501920113
60,8.7,44.4,0.0,0.0,0.9,69.7,0.2,0.9,1.7,0.6,0.1,0.6,1,0.3333329501920113
60,8.7,44.4,0.0,0.0,0.9,69.7,0.2,0.9,1.7,0.6,0.1,0.6,0,0.3333329501920113
71,30.4,49.5,0.0,0.0,4.0,72.5,2.4,4.1,1.5,1.0,1.3,2.1,1,0.5361840341499888
71,30.4,49.5,0.0,0.0,4.0,72.5,2.4,4.1,1.5,1.0,1.3,2.1,1,0.5361840341499888
71,30.4,49.5,0.0,0.0,4.0,72.5,2.4,4.1,1.5,1.0,1.3,2.1,0,0.5361840341499888
34,8.6,39.2,0.4,31.9,0.2,54.5,0.4,0.4,0.6,0.3,0.2,0.8,1,0.4069762709578245
34,8.6,39.2,0.4,31.9,0.2,54.5,0.4,0.4,0.6,0.3,0.2,0.8,1,0.4069762709578245
34,8.6,39.2,0.4,31.9,0.2,54.5,0.4,0.4,0.6,0.3,0.2,0.8,0,0.4069762709578245
45,8.3,49.4,0.0,0.0,0.9,60.9,1.3,1.1,0.4,0.2,0.1,0.9,0,0.5421680214843114
70,32.3,38.0,1.6,33.0,1.5,90.3,0.5,2.4,5.7,0.6,0.1,1.9,0,0.39628470703259844
57,7.7,36.8,0.1,25.0,0.4,61.5,0.4,0.8,0.4,0.3,0.1,0.4,0,0.25973992241568516
52,7.3,39.3,0.1,27.3,0.5,81.3,0.5,0.9,0.3,0.2,0.1,0.6,1,0.3561638956658964
51,6.5,55.3,0.0,0.0,0.3,46.4,0.7,1.4,0.1,0.2,0.3,0.6,1,0.2923072426042421
35,6.2,43.5,0.1,40.0,0.5,88.9,0.3,0.4,0.3,0.2,0.2,0.6,0,0.5322572060367644
48,5.7,23.8,0.0,16.7,0.3,76.5,0.2,0.4,1.3,0.3,0.0,0.5,0,0.19298211757523234
21,4.9,33.3,0.0,0.0,0.1,50.0,0.2,0.9,0.1,0.1,0.3,0.1,0,0.14285685131254833
36,4.3,33.8,0.1,28.6,0.7,80.0,0.2,0.4,0.3,0.1,0.0,0.6,0,0.46511519740651774
21,4.1,37.5,0.0,25.0,0.4,69.2,0.6,0.5,0.0,0.1,0.4,0.3,0,0.5365840571120559
79,34.4,46.8,0.4,36.7,5.2,81.0,2.0,3.9,4.2,1.0,0.2,3.4,1,0.6395346978096809
81,33.8,49.8,0.0,19.0,2.8,77.5,1.9,3.3,4.6,1.9,0.8,3.2,1,0.5502956951787884
80,31.1,41.9,0.9,32.7,3.1,78.0,0.5,3.6,4.1,1.6,0.5,3.2,0,0.4437297608585978
79,32.6,45.5,0.9,42.8,3.1,83.1,0.6,2.2,3.0,1.5,0.5,2.0,1,0.4631900419662447
79,29.7,42.5,0.1,27.0,1.8,74.6,1.1,2.2,4.4,1.8,0.3,3.1,1,0.4646463081998963
82,29.7,48.6,0.0,0.0,3.7,74.9,2.9,3.7,1.8,1.5,0.6,2.5,1,0.4006732657665772
75,29.6,41.4,0.8,31.4,2.1,79.5,1.0,1.5,2.3,0.9,0.3,1.5,1,0.5709457530588672
82,28.1,43.3,0.0,0.0,1.3,82.6,1.5,3.1,5.8,0.9,0.3,2.3,1,0.30604971314956825
76,27.6,45.7,0.8,36.6,2.4,71.7,2.5,2.8,1.6,1.3,0.8,2.5,1,0.5108693801197898
71,27.1,43.5,0.1,22.7,1.7,73.5,1.1,2.2,7.1,2.0,0.1,3.6,1,0.43911422910914055
79,26.1,43.2,0.4,24.8,2.3,74.5,0.6,1.9,3.8,1.1,0.1,2.3,1,0.4482756903158274
82,26.7,37.6,1.2,32.0,1.4,80.4,0.6,2.2,1.0,0.6,0.2,1.2,0,0.3295878915401156
54,25.1,41.9,0.5,32.9,1.4,61.4,1.1,2.7,2.4,1.2,0.3,0.9,1,0.3426293455659978
55,22.2,42.0,0.0,25.0,1.9,67.3,2.1,3.1,2.1,0.7,0.5,1.9,0,0.3603601980359468
64,22.0,45.0,1.0,40.6,2.0,78.9,0.9,2.2,1.3,0.6,0.3,1.3,0,0.49999977272737606
71,21.1,49.0,0.0,0.0,1.4,80.3,0.5,1.7,3.4,1.1,0.1,1.6,0,0.30331739179270534
36,20.3,41.7,0.0,14.3,1.6,69.5,1.2,1.3,4.3,1.2,0.1,2.3,0,0.28078803902067045
65,18.5,50.1,0.0,0.0,1.5,57.1,1.8,2.7,1.0,1.0,0.3,1.2,0,0.39999978378390066
80,19.5,47.5,0.1,30.0,1.1,85.0,0.6,1.5,2.6,0.8,0.2,1.0,1,0.3641023773833962
32,19.3,46.7,0.1,20.0,0.6,69.2,0.3,1.2,3.7,0.8,0.1,1.7,0,0.3523314236624748
81,19.0,43.7,0.1,20.8,2.4,78.3,1.4,1.8,1.0,0.6,0.1,1.7,0,0.4894734265929334
80,18.2,43.4,0.1,22.5,3.4,78.6,1.3,1.0,1.5,0.5,0.1,1.6,1,0.6318677846880304
71,16.8,46.4,0.0,0.0,0.5,59.6,1.1,1.2,1.1,0.5,0.4,0.4,1,0.333333134920753
81,16.8,46.7,0.2,32.2,2.1,74.5,0.6,1.3,3.9,1.2,0.0,1.8,1,0.5297615894276253
82,16.7,42.0,0.7,35.9,0.7,88.4,0.2,0.9,3.7,0.8,0.0,0.8,1,0.31137705905565327
24,14.7,44.3,0.0,0.0,1.5,57.8,0.8,1.3,0.9,0.7,0.1,1.4,0,0.3469385394975922
65,14.5,48.8,0.0,0.0,1.8,68.9,1.5,2.1,0.3,0.2,0.2,0.7,0,0.3793100832344254
56,14.3,48.6,0.0,0.0,0.7,58.0,1.2,2.0,0.6,0.4,0.1,0.7,1,0.3496501051397866
36,7.0,43.1,0.0,0.0,0.3,69.2,0.7,1.2,0.2,0.1,0.1,0.3,1,0.22857110204128284
51,13.4,44.5,0.0,0.0,1.1,72.5,0.6,1.6,0.8,0.4,0.3,0.9,0,0.35820868790396426
75,10.4,54.5,0.0,0.0,1.1,69.9,0.6,2.0,0.2,0.1,0.3,0.9,1,0.4134611409027491
54,10.2,42.6,0.0,0.0,0.8,38.4,1.6,2.1,1.1,0.4,0.1,0.9,1,0.470587773933555
62,9.9,53.7,0.0,25.0,0.6,61.5,1.0,1.1,0.3,0.3,0.5,0.6,1,0.4141409958171759
82,9.5,30.1,0.0,7.1,0.7,78.1,0.3,0.8,2.6,0.3,0.1,1.1,1,0.17894718005559995
53,9.4,36.6,0.2,29.4,0.3,60.9,0.1,0.4,2.2,0.5,0.1,1.0,0,0.2340423042103147
47,9.4,40.2,0.0,16.7,0.7,83.3,0.3,0.6,2.3,0.5,0.2,1.3,0,0.3085103100954148
36,8.8,40.8,0.3,38.5,0.9,65.4,0.4,0.7,0.8,0.6,0.1,1.1,1,0.4659085614675437
62,8.5,51.3,0.0,0.0,0.6,65.0,0.9,1.5,0.1,0.3,0.8,0.5,1,0.3058819930800082
37,8.3,49.0,0.0,0.0,0.8,67.4,0.5,0.7,0.5,0.5,0.2,0.5,0,0.4216862389322422
60,8.1,49.4,0.0,0.0,0.4,50.0,0.8,1.7,0.4,0.3,0.3,0.5,1,0.38271557689434954
51,8.0,40.4,0.1,25.0,0.3,81.3,0.3,0.7,1.5,0.5,0.1,0.7,1,0.2749996562504297
42,7.9,43.0,0.0,10.0,0.5,69.0,0.5,0.8,0.5,0.3,0.1,0.5,1,0.506328473001933
33,7.8,48.0,0.0,10.0,0.8,82.4,0.5,0.6,0.4,0.4,0.1,0.4,1,0.4871788625912018
33,7.8,48.0,0.0,10.0,0.8,82.4,0.5,0.6,0.4,0.4,0.1,0.4,0,0.4871788625912018
57,10.0,36.9,0.1,30.8,1.3,63.8,1.0,1.2,0.8,0.7,0.4,1.2,1,0.32999967000033
57,10.0,36.9,0.1,30.8,1.3,63.8,1.0,1.2,0.8,0.7,0.4,1.2,0,0.32999967000033
